City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,ampanihy,-24.7,44.75,31.23,45,0,4.33,MG,1732683903
119,aasiaat,68.7098,-52.8699,-12.64,82,85,2.03,GL,1732683905
120,east london,-33.0153,27.9116,16.53,77,100,6.84,ZA,1732683906
121,robore,-18.3333,-59.75,24.26,84,95,2.01,BO,1732683908
122,whitehorse,60.7161,-135.0538,-9.57,85,100,1.54,CA,1732683845
123,cicero dantas,-10.6,-38.3833,21.6,94,100,1.93,BR,1732683689
124,pacific grove,36.6177,-121.9166,12.83,91,0,2.68,US,1732683913
125,abilene,32.4487,-99.7331,15.12,62,0,7.2,US,1732683739
126,abha,18.2164,42.5053,14.14,51,0,0.0,SA,1732683916
127,hasaki,35.7333,140.8333,19.23,67,47,6.76,JP,1732683918
128,nasiriyah,31.0521,46.261,14.49,53,100,8.82,IQ,1732683920
129,coquimbo,-29.9533,-71.3436,12.85,100,0,0.0,CL,1732683714
130,castelli,-25.9468,-60.6195,25.94,61,64,3.2,AR,1732683923
131,bethel,41.3712,-73.414,5.31,64,0,0.0,US,1732683925
132,carahue,-38.7,-73.1667,6.39,98,61,0.87,CL,1732683927
133,zumpango del rio,17.65,-99.5,18.37,37,0,0.94,MX,1732683928
134,st. john's,47.5649,-52.7093,4.32,95,100,7.2,CA,1732683899
135,kingsbridge,50.2845,-3.7764,7.0,96,100,5.95,GB,1732683932
136,vila velha,-20.3297,-40.2925,22.97,73,0,3.09,BR,1732683933
137,arraial do cabo,-22.9661,-42.0278,22.34,86,11,12.31,BR,1732683935
138,kruisfontein,-34.0033,24.7314,16.18,66,11,10.37,ZA,1732683937
139,kaiapoi,-43.3783,172.6401,18.93,86,75,7.2,NZ,1732683939
140,lorengau,-2.0226,147.2712,28.85,73,66,3.99,PG,1732683941
141,ambodifotatra,-16.9833,49.85,26.52,74,7,4.87,MG,1732683942
142,robbah,33.2797,6.9098,10.8,57,95,2.7,DZ,1732683944
143,polyarnyy,69.1989,33.4478,-7.4,86,5,5.74,RU,1732683946
